1.32,32,7,2.1,Niño
1.4,36,9,2.2,Niño
1.47,41.7,9,2.6,Niño
1.53,45.7,11,3.1,Niño
1.57,49.1,10,3.3,Niño
1.4,34.6,8,2.4,Niño
1.35,31.5,7,3,Niño
1.45,38.4,16,4.3,Niño
1.69,61.1,18,4.7,Niño
1.7,63.5,20,5.2,Niño
1.82,66,20,8.03,Adultos
1.83,74.5,21,10.4,Adultos
1.78,62.3,15,7.6,Adultos
1.79,64,12,8.6,Adultos
1.8,75.3,24,9.65,Adultos
1.9,82,25,10.23,Adultos
1.79,62.3,20,9.3,Adultos
1.83,74.2,35,11.9,Adultos
1.79,66,17,10,Adultos
1.83,86,25,9.4,Adultos
1.72,60,6,2.3,Viejo
1.73,62,14,3.02,Viejo
1.54,56,10,1.01,Viejo
1.65,59,9,1.3,Viejo
1.7,60,10,2.5,Viejo
1.8,70,13,2.6,Viejo
1.83,75,11,2.03,Viejo
1.62,68,18,1.3,Viejo
1.68,71,14,1,Viejo
1.72,70,12,1.8,Viejo
